,base_market,quote_market,hedge_ratio,half_life
0,SUSHI-USD,RUNE-USD,0.20592491693238005,9.0
1,LTC-USD,DOGE-USD,766.0081068392032,10.0
2,LTC-USD,UNI-USD,11.781971119714429,10.0
3,ALGO-USD,ADA-USD,0.33492031063728095,19.0
4,ALGO-USD,DOT-USD,0.02772047266210456,14.0
5,MKR-USD,DOGE-USD,14383.418968090573,19.0
6,MKR-USD,RUNE-USD,229.79243555743,19.0
7,BCH-USD,LINK-USD,15.722757351706608,12.0
8,BCH-USD,ZRX-USD,603.4675855525026,16.0
9,LINK-USD,ZRX-USD,38.3743783604025,12.0
10,LINK-USD,ETC-USD,0.7308828527658073,17.0
11,DOGE-USD,COMP-USD,0.0018369007547638311,14.0
12,DOGE-USD,YFI-USD,1.11577909102136e-05,9.0
13,DOGE-USD,XLM-USD,0.76209711941736,12.0
14,DOGE-USD,1INCH-USD,0.2532926463617248,18.0
15,DOGE-USD,ZRX-USD,0.24235862536498695,24.0
16,DOGE-USD,UNI-USD,0.015374865759607547,13.0
17,DOGE-USD,TRX-USD,0.9174726368605356,12.0
18,DOGE-USD,ETH-USD,4.2247106662040776e-05,13.0
19,DOGE-USD,ZEC-USD,0.003091624216204312,20.0
20,DOGE-USD,ETC-USD,0.004619207505337905,19.0
21,COMP-USD,YFI-USD,0.006072839962332994,8.0
22,COMP-USD,XLM-USD,414.7796000608993,7.0
23,COMP-USD,1INCH-USD,137.87052266918573,10.0
24,COMP-USD,ETC-USD,2.514156657916072,12.0
25,YFI-USD,XLM-USD,68290.30454872866,7.0
26,XLM-USD,UNI-USD,0.020173811391513842,8.0
27,XMR-USD,BTC-USD,0.004015981930426593,16.0
28,1INCH-USD,ETH-USD,0.0001667445550667025,14.0
29,1INCH-USD,ETC-USD,0.018235444164418548,6.0
30,UNI-USD,ZEC-USD,0.20105967042957,22.0
31,ETH-USD,ETC-USD,109.3257491834,16.0
